OWNER_ID,AGE_GROUP,GENDER,DISTRICT,PRIMARY_BREED,SECONDARY_BREED,DOG_YEAR_OF_BIRTH,DOG_GENDER,DOG_COLOUR,DATASET_YEAR,UPDATE_TIME,BREED_TYPE
80248,51-60,m,4.0,Jack Russel Terrier,,2009,w,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
80258,51-60,m,11.0,Dackel,,2009,w,rot/black,2015,2023-10-12 10:43:28,Kleinwüchsig
80260,61-70,w,4.0,Rottweiler,American Staffordshire Terrier,2005,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80267,41-50,m,12.0,Mischling klein,,2006,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
80272,41-50,m,9.0,Terrier,,2007,m,black/tan,2015,2023-10-12 10:43:28,
80306,61-70,m,9.0,Border Terrier,,2005,m,grau/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
80317,81-90,w,7.0,Windspiel,,2001,w,blue,2015,2023-10-12 10:43:28,Rassentypenliste I
80319,41-50,w,10.0,Mischling klein,,2006,m,brown/black,2015,2023-10-12 10:43:28,Kleinwüchsig
80319,41-50,w,10.0,Dackel,,2010,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
80330,71-80,w,12.0,Husky,Appenzeller,2004,w,brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
80331,51-60,w,10.0,Collie,,2007,w,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
80335,61-70,w,12.0,Irish Setter,Golden Retriever,2008,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80335,61-70,w,12.0,Irish Setter,Golden Retriever,2008,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80351,81-90,w,3.0,Bearded Collie,,2005,w,brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
80370,51-60,m,12.0,Deutscher Schäfer,,2005,m,black/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80380,71-80,m,2.0,Mischling klein,,2007,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
80382,51-60,w,10.0,Dachshund,,2008,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
80383,81-90,w,4.0,Bichon,West Highland White Terrier,1999,w,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80399,61-70,w,12.0,Appenzeller,,1998,m,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
80404,61-70,m,7.0,Rottweiler,,2005,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80406,51-60,m,11.0,Labrador Retriever,,2008,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80407,71-80,m,7.0,Labrador Retriever,,2012,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80410,51-60,w,7.0,Labrador Retriever,,2012,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80411,41-50,w,6.0,Labrador Retriever,,2005,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80412,51-60,m,2.0,Labrador Retriever,,2012,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80416,41-50,w,9.0,Labrador Retriever,,2008,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80427,61-70,m,10.0,Tschechoslowakischer Wolfshund,,2000,m,black/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80434,61-70,w,7.0,Pudel,,2006,m,black,2015,2023-10-12 10:43:28,
